MTU, Time, Power, Cost, Voltage
MTU1,05/11/2015 19:59:06,4.102,0.62,122.4
MTU1,05/11/2015 19:59:05,4.089,0.62,122.3
MTU1,05/11/2015 19:59:04,4.089,0.62,122.3
MTU1,05/11/2015 19:59:06,4.089,0.62,122.3
MTU1,05/11/2015 19:59:04,4.097,0.62,122.4
MTU1,05/11/2015 19:59:03,4.097,0.62,122.4
MTU1,05/11/2015 19:59:02,4.111,0.62,122.5
MTU1,05/11/2015 19:59:03,4.111,0.62,122.5
MTU1,05/11/2015 19:59:02,4.104,0.62,122.5
MTU1,05/11/2015 19:59:01,4.090,0.62,122.4
MTU1,05/11/2015 19:59:00,4.093,0.62,122.4
MTU1,05/11/2015 19:58:59,4.112,0.62,122.5
MTU1,05/11/2015 19:58:58,4.107,0.62,122.6
MTU1,05/11/2015 19:58:57,4.092,0.62,122.4
MTU1,05/11/2015 19:58:56,4.092,0.62,122.4
MTU1,05/11/2015 19:58:55,4.109,0.62,122.5
MTU1,05/11/2015 19:58:54,4.107,0.62,122.6
MTU1,05/11/2015 19:58:53,4.107,0.62,122.6
MTU1,05/11/2015 19:58:52,4.092,0.62,122.4
MTU1,05/11/2015 19:58:53,4.092,0.62,122.4
MTU1,05/11/2015 19:58:52,4.092,0.62,122.3
MTU1,05/11/2015 19:58:51,4.107,0.62,122.4
MTU1,05/11/2015 19:58:50,4.109,0.62,122.5
MTU1,05/11/2015 19:58:49,4.094,0.62,122.3
MTU1,05/11/2015 19:58:48,4.090,0.62,122.1
MTU1,05/11/2015 19:58:47,4.103,0.62,122.3
MTU1,05/11/2015 19:58:46,4.103,0.62,122.3
MTU1,05/11/2015 19:58:47,4.103,0.62,122.3
MTU1,05/11/2015 19:58:46,4.110,0.62,122.4
MTU1,05/11/2015 19:58:45,4.096,0.62,122.3
MTU1,05/11/2015 19:58:44,4.122,0.62,122.2
MTU1,05/11/2015 19:58:43,4.156,0.63,122.2
MTU1,05/11/2015 19:58:42,4.154,0.63,122.3
MTU1,05/11/2015 19:58:41,4.154,0.63,122.3
MTU1,05/11/2015 19:58:40,4.144,0.63,122.2
MTU1,05/11/2015 19:58:39,4.150,0.63,122.2
MTU1,05/11/2015 19:58:38,4.160,0.63,122.3
MTU1,05/11/2015 19:58:37,4.160,0.63,122.3
MTU1,05/11/2015 19:58:36,4.163,0.63,122.4
MTU1,05/11/2015 19:58:37,4.163,0.63,122.4
MTU1,05/11/2015 19:58:36,4.154,0.63,122.3
MTU1,05/11/2015 19:58:35,4.150,0.63,122.2
MTU1,05/11/2015 19:58:34,4.157,0.63,122.2
MTU1,05/11/2015 19:58:33,4.167,0.63,122.4
MTU1,05/11/2015 19:58:32,4.160,0.63,122.4
MTU1,05/11/2015 19:58:31,4.149,0.63,122.3
MTU1,05/11/2015 19:58:30,4.153,0.63,122.2
MTU1,05/11/2015 19:58:29,4.165,0.63,122.3
MTU1,05/11/2015 19:58:28,4.166,0.63,122.4
MTU1,05/11/2015 19:58:27,4.155,0.63,122.2
MTU1,05/11/2015 19:58:26,4.151,0.63,122.2
MTU1,05/11/2015 19:58:25,4.164,0.63,122.3
MTU1,05/11/2015 19:58:24,4.172,0.63,122.4
MTU1,05/11/2015 19:58:23,4.161,0.63,122.4
MTU1,05/11/2015 19:58:22,4.152,0.63,122.2
MTU1,05/11/2015 19:58:21,4.160,0.63,122.3
MTU1,05/11/2015 19:58:20,4.173,0.63,122.4
MTU1,05/11/2015 19:58:19,4.164,0.63,122.4
MTU1,05/11/2015 19:58:18,4.164,0.63,122.4
MTU1,05/11/2015 19:58:22,4.164,0.63,122.4
MTU1,05/11/2015 19:58:18,4.152,0.63,122.3
MTU1,05/11/2015 19:58:17,4.152,0.63,122.3
MTU1,05/11/2015 19:58:16,4.156,0.63,122.2
MTU1,05/11/2015 19:58:17,4.156,0.63,122.2
MTU1,05/11/2015 19:58:16,4.173,0.63,122.4
MTU1,05/11/2015 19:58:15,4.173,0.63,122.4
